first_name,last_name,full_name,department,organization,organization_type,country,leader,team_id,position,times_cited,api_name,gender,probability,count
Pranab,Chatterjee,"Pranab, Chatterjee",Translat Global Hlth Policy Res Cell,Indian Council Med Res,Research,India,"Pranab, Chatterjee",1204,"first, leader",58,Pranab,male,0.97,111
Anup,Agarwal,"Anup, Agarwal",Translat Global Hlth Policy Res Cell,Indian Council Med Res,Research,India,"Pranab, Chatterjee",1204,other,58,Anup,male,0.99,695
Swarup,Sarkar,"Swarup, Sarkar",Translat Global Hlth Policy Res Cell,Indian Council Med Res,Research,India,"Pranab, Chatterjee",1204,other,58,Swarup,male,0.99,78
Swarup,Sarkar,"Swarup, Sarkar",CG Pandit Chair Med,Indian Council Med Res,Research,India,"Pranab, Chatterjee",1204,other,58,Swarup,male,0.99,78
Nivedita,Gupta,"Nivedita, Gupta",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Pranab, Chatterjee",1204,other,58,Nivedita,female,0.98,89
Raman R,Gangakhedkar,"Raman R, Gangakhedkar",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Pranab, Chatterjee",1204,other,58,Raman,male,0.94,1211
Nazia,Nagi,"Nazia, Nagi",Microbiol,Maulana Azad Med Coll,College,India,"Pranab, Chatterjee",1204,other,58,Nazia,female,0.97,525
Sayantan,Banerjee,"Sayantan, Banerjee",South East Asia Reg Off,WHO,Others,India,"Pranab, Chatterjee",1204,other,58,Sayantan,male,1,56
Bhabatosh,Das,"Bhabatosh, Das",Pali,Translat Hlth Sci & Technol Inst,Institute,India,"Pranab, Chatterjee",1204,last,58,Bhabatosh,male,1,3
Sarah S,Cherian,"Sarah S, Cherian",Pune,Bioinformat Grp,Research,India,"Sarah S, Cherian",1205,"first, leader",17,Sarah,female,0.98,174584
Megha,Agrawal,"Megha, Agrawal",Pune,Bioinformat Grp,Research,India,"Sarah S, Cherian",1205,other,17,Megha,female,0.93,383
Atanu,Basu,"Atanu, Basu",Pune,Electron Microscopy & Histopathol Grp,Research,India,"Sarah S, Cherian",1205,other,17,Atanu,male,1,99
Priya,Abraham,"Priya, Abraham",ICMR,Natl Inst Virol,Institute,India,"Sarah S, Cherian",1205,other,17,Priya,female,0.95,2322
Raman R,Gangakhedkar,"Raman R, Gangakhedkar",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Sarah S, Cherian",1205,other,17,Raman,male,0.94,1211
Balram,Bhargava,"Balram, Bhargava",Hlth Res ICMR,Minist Hlth & Family Welf,Others,India,"Sarah S, Cherian",1205,last,17,Balram,male,0.97,86
Gajanan,Sapkal,"Gajanan, Sapkal",Pune,Diagnost Virol Grp,Others,India,"Devendra T, Mourya",1206,first,9,Gajanan,male,0.99,82
Sujeet Kumar M,Belani,"Sujeet Kumar M, Belani",Pune,Diagnost Virol Grp,Others,India,"Devendra T, Mourya",1206,other,9,Sujeet,male,0.99,151
Pragya D,Yadav,"Pragya D, Yadav",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1206,other,9,Pragya,female,0.9,84
Anita,Shete,"Anita, Shete",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1206,other,9,Anita,female,0.98,66163
Devendra T,Mourya,"Devendra T, Mourya",ICMR,Natl Inst Virol,Institute,India,"Devendra T, Mourya",1206,leader,9,Devendra,male,0.99,496
Nivedita,Gupta,"Nivedita, Gupta",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Devendra T, Mourya",1206,last,9,Nivedita,female,0.98,89
Anup,Agarwal,"Anup, Agarwal",Translat Global Hlth Policy Res Cell,Indian Council Med Res,Research,India,"Anup, Agarwal",1207,"first, leader",13,Anup,male,0.99,695
Pranab,Chatterjee,"Pranab, Chatterjee",Translat Global Hlth Policy Res Cell,Indian Council Med Res,Research,India,"Anup, Agarwal",1207,other,13,Pranab,male,0.97,111
Swarup,Sarkar,"Swarup, Sarkar",Translat Global Hlth Policy Res Cell,Indian Council Med Res,Research,India,"Anup, Agarwal",1207,other,13,Swarup,male,0.99,78
Swarup,Sarkar,"Swarup, Sarkar",CG Pandit Chair Med,Indian Council Med Res,Research,India,"Anup, Agarwal",1207,other,13,Swarup,male,0.99,78
Nazia,Nagi,"Nazia, Nagi",Microbiol,Maulana Azad Med Coll,College,India,"Anup, Agarwal",1207,other,13,Nazia,female,0.97,525
Rajesh,Bhatia,"Rajesh, Bhatia",South East Asia Reg Off,WHO,Others,India,"Anup, Agarwal",1207,other,13,Rajesh,male,0.99,5461
Rima Rakeshkumar,Sahay,"Rima Rakeshkumar, Sahay",Pune,Maximum Containment Facil,Research,India,"Anup, Agarwal",1207,other,13,Rima,female,0.97,6166
Devendra,Mourya,"Devendra, Mourya",ICMR,Natl Inst Virol,Institute,India,"Anup, Agarwal",1207,last,13,Devendra,male,0.99,496
Tarun,Bhatnagar,"Tarun, Bhatnagar",Chennai,Sch Publ Hlth,School,India,"Manoj V, Murhekar",1208,first,41,Tarun,male,0.99,1254
Manoj V,Murhekar,"Manoj V, Murhekar",ICMR,Natl Inst Epidemiol,Institute,India,"Manoj V, Murhekar",1208,leader,41,Manoj,male,0.99,3843
Manish,Soneja,"Manish, Soneja",Med,All India Inst Med Sci,Institute,India,"Manoj V, Murhekar",1208,other,41,Manish,male,0.99,3879
Naveet,Wig,"Naveet, Wig",Med,All India Inst Med Sci,Institute,India,"Manoj V, Murhekar",1208,other,41,Naveet,male,0.75,4
Nivedita,Gupta,"Nivedita, Gupta",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Manoj V, Murhekar",1208,other,41,Nivedita,female,0.98,89
Sidhartha,Giri,"Sidhartha, Giri",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Manoj V, Murhekar",1208,other,41,Sidhartha,male,1,46
Raman,Gangakhedkar,"Raman, Gangakhedkar",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Manoj V, Murhekar",1208,last,41,Raman,male,0.94,1211
Sandip,Mandal,"Sandip, Mandal",Hlth Res,Indian Council Med Res,Research,India,"Tarun, Bhatnagar",1209,first,59,Sandip,male,0.98,656
Anup,Agarwal,"Anup, Agarwal",Hlth Res,Indian Council Med Res,Research,India,"Tarun, Bhatnagar",1209,other,59,Anup,male,0.99,695
Amartya,Chowdhury,"Amartya, Chowdhury",Hlth Res,Indian Council Med Res,Research,India,"Tarun, Bhatnagar",1209,other,59,Amartya,male,0.96,24
Swarup,Sarkar,"Swarup, Sarkar",Hlth Res,Indian Council Med Res,Research,India,"Tarun, Bhatnagar",1209,other,59,Swarup,male,0.99,78
Raman R,Gangakhedkar,"Raman R, Gangakhedkar",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Tarun, Bhatnagar",1209,other,59,Raman,male,0.94,1211
Tarun,Bhatnagar,"Tarun, Bhatnagar",Chennai,ICMR Sch Publ Hlth,School,India,"Tarun, Bhatnagar",1209,leader,59,Tarun,male,0.99,1254
Manoj,Murhekar,"Manoj, Murhekar",ICMR,Natl Inst Epidemiol,Institute,India,"Tarun, Bhatnagar",1209,other,59,Manoj,male,0.99,3843
Pragya D,Yadav,"Pragya D, Yadav",Pune,Maximum Containment Lab,Others,India,"Sarah S, Cherian",1210,first,48,Pragya,female,0.9,84
Dimpal A,Nyayanit,"Dimpal A, Nyayanit",Pune,Maximum Containment Lab,Others,India,"Sarah S, Cherian",1210,other,48,Dimpal,female,0.77,22
Triparna D,Majumdar,"Triparna D, Majumdar",Pune,Maximum Containment Lab,Others,India,"Sarah S, Cherian",1210,other,48,Triparna,female,0.89,9
Anita,Shete Aich,"Anita, Shete Aich",Pune,Maximum Containment Lab,Others,India,"Sarah S, Cherian",1210,other,48,Anita,female,0.98,66163
Varsha A,Potdar,"Varsha A, Potdar",Pune,Influenza Grp,Others,India,"Sarah S, Cherian",1210,other,48,Varsha,female,0.98,429
Manohar Lal,Choudhary,"Manohar Lal, Choudhary",Pune,Influenza Grp,Others,India,"Sarah S, Cherian",1210,other,48,Manohar,male,0.98,259
Atanu,Basu,"Atanu, Basu",Pune,Electron Microscopy,Research,India,"Sarah S, Cherian",1210,other,48,Atanu,male,1,99
Megha,Agrawal,"Megha, Agrawal",Pune,Bioinformat & Data Management Grp,Research,India,"Sarah S, Cherian",1210,other,48,Megha,female,0.93,383
Santosh M,Jadhav,"Santosh M, Jadhav",Pune,Bioinformat & Data Management Grp,Research,India,"Sarah S, Cherian",1210,other,48,Santosh,male,0.98,2429
Sarah S,Cherian,"Sarah S, Cherian",Pune,Bioinformat & Data Management Grp,Research,India,"Sarah S, Cherian",1210,leader,48,Sarah,female,0.98,174584
Priya,Abraham,"Priya, Abraham",Natl Inst Virol,ICMR,Research,India,"Sarah S, Cherian",1210,last,48,Priya,female,0.95,2322
Nivedita,Gupta,"Nivedita, Gupta",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Nivedita, Gupta",1211,"first, leader",3,Nivedita,female,0.98,89
Raman R,Gangakhedkar,"Raman R, Gangakhedkar",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Nivedita, Gupta",1211,other,3,Raman,male,0.94,1211
Anu,Nagar,"Anu, Nagar",Hlth Res,Minist Hlth & Family Welf,Others,India,"Nivedita, Gupta",1211,other,3,Anu,female,0.74,2645
Kiran,Rade,"Kiran, Rade",Country Off India,WHO,Others,India,"Nivedita, Gupta",1211,other,3,Kiran,male,0.68,3266
Tarun,Bhatnagar,"Tarun, Bhatnagar",Natl Inst Epidemiol,ICMR,Research,India,"Nivedita, Gupta",1211,other,3,Tarun,male,0.99,1254
Manoj,Murhekar,"Manoj, Murhekar",Natl Inst Epidemiol,ICMR,Research,India,"Nivedita, Gupta",1211,last,3,Manoj,male,0.99,3843
Nivedita,Gupta,"Nivedita, Gupta",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Priya, Abraham",1212,first,17,Nivedita,female,0.98,89
Ira,Praharaj,"Ira, Praharaj",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Priya, Abraham",1212,other,17,Ira,female,0.92,6844
Sidhartha,Giri,"Sidhartha, Giri",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Priya, Abraham",1212,other,17,Sidhartha,male,1,46
Neeraj,Aggarwal,"Neeraj, Aggarwal",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Priya, Abraham",1212,other,17,Neeraj,male,0.99,1321
Raman R,Gangakhedkar,"Raman R, Gangakhedkar",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Priya, Abraham",1212,other,17,Raman,male,0.94,1211
Lalit,Dar,"Lalit, Dar",Microbiol,All India Inst Med Sci,Institute,India,"Priya, Abraham",1212,other,17,Lalit,male,0.98,821
Aashish,Choudhary,"Aashish, Choudhary",Microbiol,All India Inst Med Sci,Institute,India,"Priya, Abraham",1212,other,17,Aashish,male,0.99,239
Megha,Brijwal,"Megha, Brijwal",Microbiol,All India Inst Med Sci,Institute,India,"Priya, Abraham",1212,other,17,Megha,female,0.93,383
Harmanmeet,Kaur,"Harmanmeet, Kaur",Minist Hlth & Family Welf,Govt India,Others,India,"Priya, Abraham",1212,other,17,Harmanmeet,female,1,0
Neetu,Vijay,"Neetu, Vijay",Minist Hlth & Family Welf,Govt India,Others,India,"Priya, Abraham",1212,other,17,Neetu,female,0.91,204
Jitendra,Narayan,"Jitendra, Narayan",Minist Hlth & Family Welf,Govt India,Others,India,"Priya, Abraham",1212,other,17,Jitendra,male,0.99,1003
Anu,Nagar,"Anu, Nagar",Minist Hlth & Family Welf,Govt India,Others,India,"Priya, Abraham",1212,other,17,Anu,female,0.74,2645
Varsha,Potdar,"Varsha, Potdar",Pune,Influenza Grp,Others,India,"Priya, Abraham",1212,other,17,Varsha,female,0.98,429
Manohar Lal,Choudhary,"Manohar Lal, Choudhary",Pune,Influenza Grp,Others,India,"Priya, Abraham",1212,other,17,Manohar,male,0.98,259
Gajanan,Sapkal,"Gajanan, Sapkal",Pune,Maximum Containment Lab,Others,India,"Priya, Abraham",1212,other,17,Gajanan,male,0.99,82
Pragya,Yadav,"Pragya, Yadav",Pune,Maximum Containment Lab,Others,India,"Priya, Abraham",1212,other,17,Pragya,female,0.9,84
Priya,Abraham,"Priya, Abraham",Natl Inst Virol,ICMR,Research,India,"Priya, Abraham",1212,leader,17,Priya,female,0.95,2322
Jayanthi,Shastri,"Jayanthi, Shastri",Microbiol,Kasturba Hosp Infect Dis,Hospital,India,"Priya, Abraham",1212,other,17,Jayanthi,female,0.97,96
Manish,Pathak,"Manish, Pathak",Microbiol,Kasturba Hosp Infect Dis,Hospital,India,"Priya, Abraham",1212,other,17,Manish,male,0.99,3879
Sharmila,Raut,"Sharmila, Raut",Microbiol,Indira Gandhi Govt Med Coll & Hosp,College,India,"Priya, Abraham",1212,other,17,Sharmila,female,0.97,380
Babita,Fageria,"Babita, Fageria",Microbiol,Indira Gandhi Govt Med Coll & Hosp,College,India,"Priya, Abraham",1212,other,17,Babita,female,0.96,141
A P,Sugunan,"A P, Sugunan",Natl Inst Virol,ICMR,Research,India,"Priya, Abraham",1212,other,17,Sugunan,male,1,5
Anukumar,Balakrishnan,"Anukumar, Balakrishnan",Natl Inst Virol,ICMR,Research,India,"Priya, Abraham",1212,other,17,Anukumar,male,1,1
Ashok,Munivenkatappa,"Ashok, Munivenkatappa",Natl Inst Virol,ICMR,Research,India,"Priya, Abraham",1212,other,17,Ashok,male,0.99,2574
Jayaswamy,Manjunatha,"Jayaswamy, Manjunatha",Natl Inst Virol,ICMR,Research,India,"Priya, Abraham",1212,other,17,Jayaswamy,male,1,0
G B,Shantala,"G B, Shantala",Bengaluru,Bangalore Med Coll & Res Inst,Institute,India,"Priya, Abraham",1212,other,17,Shantala,female,1,12
R,Ambica,"R, Ambica",Bengaluru,Bangalore Med Coll & Res Inst,Institute,India,"Priya, Abraham",1212,other,17,Ambica,female,0.89,9
Krishnasamy,Kaveri,"Krishnasamy, Kaveri",Virol,King Inst Prevent Med & Res,Institute,India,"Priya, Abraham",1212,other,17,Krishnasamy,male,0.88,16
Sivasubramanian,Srinivasan,"Sivasubramanian, Srinivasan",Virol,King Inst Prevent Med & Res,Institute,India,"Priya, Abraham",1212,other,17,Sivasubramanian,male,1,19
Shanta,Dutta,"Shanta, Dutta",Natl Inst Cholera & Enter Dis,ICMR,Research,India,"Priya, Abraham",1212,other,17,Shanta,female,0.76,127
Hasina,Banu,"Hasina, Banu",Natl Inst Cholera & Enter Dis,ICMR,Research,India,"Priya, Abraham",1212,other,17,Hasina,female,0.67,369
Bharti,Malhotra,"Bharti, Malhotra",Microbiol,Sawai Man Singh Med Coll,College,India,"Priya, Abraham",1212,other,17,Bharti,female,0.94,135
Himanshu,Sharma,"Himanshu, Sharma",Microbiol,Sawai Man Singh Med Coll,College,India,"Priya, Abraham",1212,other,17,Himanshu,male,1,1377
Amita,Jain,"Amita, Jain",Microbiol,King Georges Med Univ,University,India,"Priya, Abraham",1212,other,17,Amita,female,0.91,264
Parul,Jain,"Parul, Jain",Microbiol,King Georges Med Univ,University,India,"Priya, Abraham",1212,other,17,Parul,female,0.86,239
Kammilli,Nagamani,"Kammilli, Nagamani",Microbiol,Gandhi Med Coll & Hosp,College,India,"Priya, Abraham",1212,other,17,Kammilli,female,1,0
Pakalpati,Sunita,"Pakalpati, Sunita",Microbiol,Gandhi Med Coll & Hosp,College,India,"Priya, Abraham",1212,other,17,Pakalpati,male,1,0
M M,Vegad,"M M, Vegad",Microbiol,Byramjee Jeejeebhoy Med Coll,College,India,"Priya, Abraham",1212,other,17,Vegad,male,0.86,7
Disha,Patel,"Disha, Patel",Microbiol,Byramjee Jeejeebhoy Med Coll,College,India,"Priya, Abraham",1212,other,17,Disha,female,0.84,241
Ajanta,Sharma,"Ajanta, Sharma",Microbiol,Gauhati Med Coll & Hosp,College,India,"Priya, Abraham",1212,other,17,Ajanta,female,0.85,13
Gitika,Rajbongshi,"Gitika, Rajbongshi",Microbiol,Gauhati Med Coll & Hosp,College,India,"Priya, Abraham",1212,last,17,Gitika,female,0.93,15
Pragya D,Yadav,"Pragya D, Yadav",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,first,6,Pragya,female,0.9,84
Anita,Shete Aich,"Anita, Shete Aich",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Anita,female,0.98,66163
Dimpal A,Nyayanit,"Dimpal A, Nyayanit",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Dimpal,female,0.77,22
Prachi,Pardeshi,"Prachi, Pardeshi",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Prachi,female,0.98,245
Triparna,Majumdar,"Triparna, Majumdar",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Triparna,female,0.89,9
R,Balasubramanian,"R, Balasubramanian",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Balasubramanian,male,0.97,102
Sreelekshmy,Mohandas,"Sreelekshmy, Mohandas",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Sreelekshmy,female,1,6
Hitesh,Dighe,"Hitesh, Dighe",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Hitesh,male,0.99,1160
Savita,Patil,"Savita, Patil",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Savita,female,0.99,185
Sreekant,Baradkar,"Sreekant, Baradkar",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Sreekant,male,1,4
Abhimanyu,Kumar,"Abhimanyu, Kumar",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Abhimanyu,male,1,230
Rutuja,Kharde,"Rutuja, Kharde",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Rutuja,female,1,33
Malvika,Salve,"Malvika, Salve",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Malvika,female,1,27
Yash,Joshi,"Yash, Joshi",Pune,Maximum Containment Lab,Others,India,"Devendra T, Mourya",1213,other,6,Yash,male,0.97,1425
Padinjaremattathil Thankappan,Ullas,"Padinjaremattathil Thankappan, Ullas",Pune,Diagnost Virol Grp,Others,India,"Devendra T, Mourya",1213,other,6,Padinjaremattathil,male,1,0
Pradeep,Sawant,"Pradeep, Sawant",Pune,Enter Virus Grp,Others,India,"Devendra T, Mourya",1213,other,6,Pradeep,male,0.99,2640
Dilip,Patil,"Dilip, Patil",Pune,Anim House,Others,India,"Devendra T, Mourya",1213,other,6,Dilip,male,0.99,1068
M D,Gokhale,"M D, Gokhale",Pune,Entomol Grp,University,India,"Devendra T, Mourya",1213,other,6,Gokhale,male,1,2
A B,Sudeep,"A B, Sudeep",Pune,Entomol Grp,University,India,"Devendra T, Mourya",1213,other,6,Sudeep,male,1,246
Basavaraj,Mathapati,"Basavaraj, Mathapati",Pune,Poliovirus Grp,Others,India,"Devendra T, Mourya",1213,other,6,Basavaraj,male,0.99,85
Devendra T,Mourya,"Devendra T, Mourya",Natl Inst Virol,ICMR,Research,India,"Devendra T, Mourya",1213,leader,6,Devendra,male,0.99,496
R,Balasubramanian,"R, Balasubramanian",Natl Inst Virol,ICMR,Research,India,"Devendra T, Mourya",1213,other,6,Balasubramanian,male,0.97,102
Nivedita,Gupta,"Nivedita, Gupta",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Devendra T, Mourya",1213,last,6,Nivedita,female,0.98,89
Nivedita,Gupta,"Nivedita, Gupta",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Manoj, Murhekar",1214,first,21,Nivedita,female,0.98,89
Ira,Praharaj,"Ira, Praharaj",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Manoj, Murhekar",1214,other,21,Ira,female,0.92,6844
Sidhartha,Giri,"Sidhartha, Giri",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Manoj, Murhekar",1214,other,21,Sidhartha,male,1,46
Raman R,Gangakhedkar,"Raman R, Gangakhedkar",Div Epidemiol & Communicable Dis,Indian Council Med Res,Research,India,"Manoj, Murhekar",1214,other,21,Raman,male,0.94,1211
Balram,Bhargava,"Balram, Bhargava",Hlth Res ICMR,Minist Hlth & Family Welf,Others,India,"Manoj, Murhekar",1214,other,21,Balram,male,0.97,86
Himanshu,Chauhan,"Himanshu, Chauhan",Delhi,Natl Ctr Dis Control,Research,India,"Manoj, Murhekar",1214,other,21,Himanshu,male,1,1377
Sanket,Kulkarni,"Sanket, Kulkarni",Delhi,Natl Ctr Dis Control,Research,India,"Manoj, Murhekar",1214,other,21,Sanket,male,0.99,384
Sujeet,Singh,"Sujeet, Singh",Delhi,Natl Ctr Dis Control,Research,India,"Manoj, Murhekar",1214,other,21,Sujeet,male,0.99,151
Tarun,Bhatnagar,"Tarun, Bhatnagar",Chennai 600077,ICMR Natl Inst Epidemiol,Institute,India,"Manoj, Murhekar",1214,other,21,Tarun,male,0.99,1254
Jeromie Wesley Vivian,Thangaraj,"Jeromie Wesley Vivian, Thangaraj",Chennai 600077,ICMR Natl Inst Epidemiol,Institute,India,"Manoj, Murhekar",1214,other,21,Jeromie,male,0.93,14
Manoj,Murhekar,"Manoj, Murhekar",Chennai 600077,ICMR Natl Inst Epidemiol,Institute,India,"Manoj, Murhekar",1214,"last, leader",21,Manoj,male,0.99,3843
Abhay Prakash,Mishra,"Abhay Prakash, Mishra",Pharmaceut Chem,Hemwati Nandan Bahuguna Garhwal A Cent Univ,University,India,"Mohammad Hosein, Farzaei",1215,other,1,Abhay,male,1,688
Manisha,Nigam,"Manisha, Nigam",Biochem,Hemwati Nandan Bahuguna Garhwal Univ,University,India,"Mohammad Hosein, Farzaei",1215,other,1,Manisha,female,0.97,643
Harish,Chandra,"Harish, Chandra",Microbiol,Gurukul Kangri Vishwavidhyalya,University,India,"Mohammad Hosein, Farzaei",1215,other,1,Harish,male,0.99,1533
Anuj,Bhardwaj,"Anuj, Bhardwaj",Conservat Dent & Endodont,Coll Dent Sci & Hosp,College,India,"Ayfer Atav, Ates",1216,other,1,Anuj,male,1,1000
Swarnali,Sharma,"Swarnali, Sharma",Math,Vijaygarh Jyotish Ray Coll,College,India,"Malay, Banerjee",1217,first,1,Swarnali,female,1,7
Malay,Banerjee,"Malay, Banerjee",Math & Stat,IIT Kanpur,University,India,"Malay, Banerjee",1217,"last, leader",1,Malay,male,0.82,119
Sonali,Kochhar,"Sonali, Kochhar",New Delhi 110024,Global Healthcare Consulting,Research,India,"Kathryn M, Edwards",1218,other,5,Sonali,female,0.97,370
Ashok K,Patra,"Ashok K, Patra",Bhopal 462038,ICAR Indian Inst Soil Sci,Institute,India,"Rosa M, Poch",1219,other,0,Ashok,male,0.99,2574
Jeyaraman,Jeyakanthan,"Jeyaraman, Jeyakanthan",Bioinformat,Alagappa Univ,University,India,"Natarajan Arul, Murugan",1220,last,4,Jeyaraman,male,0.89,9
Rujuta R,Deshpande,"Rujuta R, Deshpande",Zool,Modern Coll,College,India,"Arpita Pandey, Tiwari",1221,first,10,Rujuta,female,0.85,13
Arpita Pandey,Tiwari,"Arpita Pandey, Tiwari",Ctr Interdisciplinary Res,DY Patil Educ Soc Inst Deemed Be Univ,Institute,India,"Arpita Pandey, Tiwari",1221,leader,10,Arpita,female,0.98,161
Narendra,Nyayanit,"Narendra, Nyayanit",Zool,Sir Parashurambhau Coll,College,India,"Arpita Pandey, Tiwari",1221,other,10,Narendra,male,0.99,815
Manisha,Modak,"Manisha, Modak",Zool,Sir Parashurambhau Coll,College,India,"Arpita Pandey, Tiwari",1221,last,10,Manisha,female,0.97,643
Vivek Kumar,Soni,"Vivek Kumar, Soni",Biotechnol,Guru Ghasidas Vishwavidyalaya,University,India,"Dhananjay, Shukla",1222,first,14,Vivek,male,0.99,3051
Arundhati,Mehta,"Arundhati, Mehta",Biotechnol,Guru Ghasidas Vishwavidyalaya,University,India,"Dhananjay, Shukla",1222,other,14,Arundhati,female,1,22
Yashwant Kumar,Ratre,"Yashwant Kumar, Ratre",Biotechnol,Guru Ghasidas Vishwavidyalaya,University,India,"Dhananjay, Shukla",1222,other,14,Yashwant,male,0.99,93
Rajat Pratap,Singh,"Rajat Pratap, Singh",Biotechnol,Guru Ghasidas Vishwavidyalaya,University,India,"Dhananjay, Shukla",1222,other,14,Rajat,male,0.98,845
Dhananjay,Shukla,"Dhananjay, Shukla",Biotechnol,Guru Ghasidas Vishwavidyalaya,University,India,"Dhananjay, Shukla",1222,leader,14,Dhananjay,male,0.99,288
Naveen Kumar,Vishvakarma,"Naveen Kumar, Vishvakarma",Biotechnol,Guru Ghasidas Vishwavidyalaya,University,India,"Dhananjay, Shukla",1222,other,14,Naveen,male,0.98,2239
Atul Kumar,Tiwari,"Atul Kumar, Tiwari",Zool,Bhanwar Singh Porte Govt Sci Coll,College,India,"Dhananjay, Shukla",1222,other,14,Atul,male,0.99,1337
Ajay,Amit,"Ajay, Amit",Forens Sci,Guru Ghasidas Vishwavidyalaya,University,India,"Dhananjay, Shukla",1222,other,14,Ajay,male,0.99,4648
Subash Chandra,Sonkar,"Subash Chandra, Sonkar",Maulana Azad Med Coll,Univ Delhi,University,India,"Dhananjay, Shukla",1222,other,14,Subash,male,1,318
Navaneet,Chaturvedi,"Navaneet, Chaturvedi",Sch Biochem Engn,Banaras Hindu Univ,University,India,"Dhananjay, Shukla",1222,last,14,Navaneet,male,1,8
Balaji Gowrivel,Vijayakumar,"Balaji Gowrivel, Vijayakumar",Chem,Pondicherry Univ,University,India,"Tharanikkarasu, Kannan",1223,first,12,Balaji,male,0.99,692
Deepthi,Ramesh,"Deepthi, Ramesh",Chem,Pondicherry Univ,University,India,"Tharanikkarasu, Kannan",1223,other,12,Deepthi,female,0.9,119
Annu,Joji,"Annu, Joji",Chem,Pondicherry Univ,University,India,"Tharanikkarasu, Kannan",1223,other,12,Annu,female,0.66,352
Jayadharini Jayachandra,Prakasan,"Jayadharini Jayachandra, Prakasan",Chem,Pondicherry Univ,University,India,"Tharanikkarasu, Kannan",1223,other,12,Jayadharini,male,1,27
Tharanikkarasu,Kannan,"Tharanikkarasu, Kannan",Chem,Pondicherry Univ,University,India,"Tharanikkarasu, Kannan",1223,"last, leader",12,Tharanikkarasu,male,0.75,4
Sandeep,Grover,"Sandeep, Grover",Psychiat,Post Grad Inst Med Educ & Res,Institute,India,"Sandeep, Grover",1224,"first, leader",0,Sandeep,male,0.98,4494
Swapnajeet,Sahoo,"Swapnajeet, Sahoo",Psychiat,Post Grad Inst Med Educ & Res,Institute,India,"Sandeep, Grover",1224,other,0,Swapnajeet,male,1,2
Devakshi,Dua,"Devakshi, Dua",Psychiat,Post Grad Inst Med Educ & Res,Institute,India,"Sandeep, Grover",1224,other,0,Devakshi,female,1,1
Aseem,Mehra,"Aseem, Mehra",Psychiat,Post Grad Inst Med Educ & Res,Institute,India,"Sandeep, Grover",1224,other,0,Aseem,male,1,172
Ritu,Nehra,"Ritu, Nehra",Psychiat,Post Grad Inst Med Educ & Res,Institute,India,"Sandeep, Grover",1224,last,0,Ritu,female,0.87,493
Sagar,Barage,"Sagar, Barage",Amity Inst Biotechnol,Amity Univ,University,India,"Sagar, Barage",1225,"first, leader",6,Sagar,male,0.98,2256
A,Karthic,"A, Karthic",Amity Inst Biotechnol,Amity Univ,University,India,"Sagar, Barage",1225,other,6,Karthic,male,1,44
Rohit,Bavi,"Rohit, Bavi",Sch Chem Sci,Punyashlok Ahilyadevi Holkar Solapur Univ,University,India,"Sagar, Barage",1225,other,6,Rohit,male,1,4503
